Constructeur,Modele,Type_offre,Prix_affiche,Prix_net_estime,Promo_reduction,CEE,Reprise_Fiat_500X,Conditions,Source_principale,Signaux_forums_presse,Confiance
Tesla,Model Y Propulsion neuf stock,Achat comptant,37690 €,32690 € à 34690 €,"Avantages affichés 3 600 € inclus + bonus reprise pouvant aller jusqu'à 5 000 € selon période",3 600 € (vu en stock),"Oui, reprise Tesla possible (montant à confirmer dossier)",Stock neuf et offres variables selon ville/date,"https://www.tesla.com/fr_FR/inventory/new/my ; presse: automobile-magazine/autoplus/dealabs",Très fort intérêt sur presse auto et communautés deal hunters,Élevée
Tesla,Model Y (certaines versions stock),Achat comptant,"prix stock avec remise jusqu'à ~8 770 € vus",~33k-39k selon config,"Remise stock + avantages constructeur",Variable,"Oui",Nécessite capture d'offre au moment de commande,"https://www.tesla.com/fr_FR/inventory/new/my",Discussions récurrentes sur le timing des remises Tesla,Élevée
Renault,Renault 5 E-Tech electric,Comptant (prix affiché),21370 €,21370 €,"CEE déjà déduite sur la page",3 620 € déduits,"Oui via réseau",Prix affiché pour version five 95 ch,"https://www.renault.fr/vehicules-electriques/r5-e-tech-electrique.html",Couverture presse massive (rapport prix/autonomie),Élevée
Renault,Renault 5 E-Tech electric,LLD,160 €/mois,160 €/mois,"1er loyer 2 700 €",Prime coup de pouce 5 740 € mentionnée,"Oui (à négocier en concession)",LLD 37 mois / 30 000 km,"https://www.renault.fr/vehicules-electriques/r5-e-tech-electrique.html",Très commenté en presse/YouTube auto FR,Élevée
Citroën,ë-C3,Comptant,13990 €,13990 €,"Prix promo affiché",Prime CEE jusqu'à 5 700 € déduite,"Oui selon concession/reprise",Offre particuliers réseau participant,"https://www.citroen.fr/acheter/offres.html",Très cité en presse comme point d'entrée VE,Élevée
Citroën,ë-C3 Aircross,LOA/LLD,219 €/mois,219 €/mois,"Loyer promo",Prime CEE jusqu'à 4 800 € déduite,"Oui",Conditions exactes selon contrat,"https://www.citroen.fr/acheter/offres.html",Bonne perception rapport espace/prix,Élevée
Citroën,ë-C4,LOA/LLD,229 €/mois,229 €/mois,"Loyer promo",Prime CEE jusqu'à 4 800 € déduite,"Oui",Réseau participant,"https://www.citroen.fr/acheter/offres.html",Souvent comparée à Mégane/ID.3,Élevée
Citroën,ë-C5 Aircross,LOA/LLD,309 €/mois,309 €/mois,"Loyer promo",Prime CEE jusqu'à 3 600 € déduite,"Oui",Réseau participant,"https://www.citroen.fr/acheter/offres.html",Positionnement familial confort,Élevée
Dacia,Spring,Comptant,16520 €,16520 €,"Prix d'appel Dacia",Non précisé sur l'extrait,"Oui via reprise réseau",Version d'entrée,"https://www.dacia.fr/offres.html",Souvent recommandée pour budget serré,Élevée
Fiat,500e / gamme électrique,Comptant + reprise,"selon modèle",Variable,"Reprises €CO Fiat: 500 € supplémentaires avec mise à la casse",Non précisé,"Oui (reprise en ligne + prime reprise)",Dépend du véhicule repris et du modèle choisi,"https://www.fiat.fr/offres-particuliers",Signal promo orienté reprise,Élevée
